Survived,Pclass,Sex,Age,SibSp,Parch,Embarked,Title
0,3,2,20.0,9,9,1.0,2
0,1,2,46.0,1,9,1.0,2
0,3,2,26.0,1,2,1.0,2
0,3,2,59.0,9,9,1.0,2
0,3,2,28.0,9,9,1.0,2
0,1,2,71.0,9,9,2.0,2
1,1,2,23.0,9,1,2.0,2
1,2,1,34.0,9,1,1.0,4
0,2,2,34.0,1,9,1.0,2
0,3,1,28.0,9,9,1.0,3
0,3,2,28.0,9,9,1.0,2
0,1,2,21.0,9,1,1.0,2
0,3,2,33.0,9,9,1.0,2
0,3,2,37.0,2,9,1.0,2
0,3,2,28.0,9,9,1.0,2
1,3,1,21.0,9,9,1.0,3
1,3,2,28.0,9,9,1.0,2
0,3,2,38.0,9,9,1.0,2
1,3,1,28.0,1,9,3.0,3
0,1,2,47.0,9,9,1.0,2
0,3,1,14.5,1,9,2.0,3
0,3,2,22.0,9,9,1.0,2
0,3,1,20.0,1,9,1.0,3
0,3,1,17.0,9,9,2.0,3
0,3,2,21.0,9,9,1.0,2
0,3,2,70.5,9,9,3.0,2
0,2,2,29.0,1,9,1.0,2
0,1,2,24.0,9,1,2.0,2
0,3,1,2.0,4,2,1.0,3
0,2,2,21.0,2,9,1.0,2
0,3,2,28.0,9,9,1.0,2
0,2,2,32.5,1,9,2.0,2
1,2,1,32.5,9,9,1.0,3
0,1,2,54.0,9,1,1.0,2
1,3,2,12.0,1,9,2.0,1
0,3,2,28.0,9,9,3.0,2
1,3,2,24.0,9,9,1.0,2
1,3,1,28.0,1,1,2.0,3
0,3,2,45.0,9,9,1.0,2
0,3,2,33.0,9,9,2.0,2
0,3,2,20.0,9,9,1.0,2
0,3,1,47.0,1,9,1.0,4
1,2,1,29.0,1,9,1.0,4
0,2,2,25.0,9,9,1.0,2
0,2,2,23.0,9,9,2.0,2
1,1,1,19.0,9,2,1.0,3
0,1,2,37.0,1,9,1.0,2
0,3,2,16.0,9,9,1.0,2
0,1,2,24.0,9,9,2.0,2
0,3,1,28.0,9,2,2.0,4
1,3,1,22.0,9,9,1.0,3
1,3,1,24.0,1,9,1.0,4
0,3,2,19.0,9,9,3.0,2
0,2,2,18.0,9,9,1.0,2
0,2,2,19.0,1,1,1.0,2
1,3,2,27.0,9,9,1.0,2
0,3,1,9.0,2,2,1.0,3
0,2,2,36.5,9,2,1.0,2
0,2,2,42.0,9,9,1.0,5
0,2,2,51.0,9,9,1.0,5
1,1,1,22.0,1,9,1.0,4
0,3,2,55.5,9,9,1.0,2
0,3,2,40.5,9,2,1.0,2
0,3,2,28.0,9,9,1.0,2
0,1,2,51.0,9,1,2.0,2
1,3,1,16.0,9,9,3.0,3
0,3,2,30.0,9,9,1.0,2
0,3,2,28.0,9,9,1.0,2
0,3,2,28.0,8,2,1.0,1
0,3,2,44.0,9,1,1.0,2
1,2,1,40.0,9,9,1.0,4
0,3,2,26.0,9,9,1.0,2
0,3,2,17.0,9,9,1.0,2
0,3,2,1.0,4,1,1.0,1
1,3,2,9.0,9,2,1.0,1
1,1,1,28.0,9,1,1.0,4
0,3,1,45.0,1,4,1.0,4
0,1,2,28.0,9,9,1.0,2
0,3,2,28.0,9,9,1.0,2
0,1,2,61.0,9,9,1.0,2
0,3,2,4.0,4,1,3.0,1
1,3,1,1.0,1,1,1.0,3
0,3,2,21.0,9,9,1.0,2
0,1,2,56.0,9,9,2.0,2
0,3,2,18.0,1,1,1.0,2
0,3,2,28.0,3,1,1.0,1
0,1,1,50.0,9,9,2.0,3
0,2,2,30.0,9,9,1.0,2
0,3,2,36.0,9,9,1.0,2
0,3,1,28.0,8,2,1.0,3
0,2,2,28.0,9,9,2.0,2
0,3,2,9.0,4,2,1.0,1
1,2,2,1.0,2,1,1.0,1
1,3,1,4.0,9,2,1.0,3
0,1,2,28.0,9,9,1.0,2
1,3,1,28.0,1,9,3.0,4
1,1,2,45.0,9,9,1.0,2
0,3,2,40.0,1,1,3.0,2
0,3,2,36.0,9,9,1.0,2
1,2,1,32.0,9,9,1.0,4
0,2,2,19.0,9,9,1.0,2
1,3,1,19.0,1,9,1.0,3
1,2,2,3.0,1,1,1.0,1
1,1,1,44.0,9,9,2.0,4
1,1,1,58.0,9,9,2.0,3
0,3,2,28.0,9,9,3.0,2
0,3,2,42.0,9,1,1.0,2
1,3,1,28.0,9,9,3.0,3
0,2,1,24.0,9,9,1.0,3
0,3,2,28.0,9,9,1.0,2
0,3,2,28.0,8,2,1.0,2
0,3,2,34.0,9,9,1.0,2
0,3,2,45.5,9,9,2.0,2
1,3,2,18.0,9,9,1.0,2
0,3,1,2.0,9,1,1.0,3
0,3,2,32.0,1,9,1.0,2
1,3,2,26.0,9,9,2.0,2
1,3,1,16.0,9,9,3.0,3
1,1,2,40.0,9,9,2.0,2
0,3,2,24.0,9,9,1.0,2
1,2,1,35.0,9,9,1.0,3
0,3,2,22.0,9,9,1.0,2
0,2,2,30.0,9,9,1.0,2
0,3,2,28.0,1,9,3.0,2
1,1,1,31.0,1,9,2.0,3
1,3,1,27.0,9,9,1.0,3
0,2,2,42.0,1,9,1.0,2
1,1,1,32.0,9,9,2.0,3
0,2,2,30.0,9,9,1.0,2
1,3,2,16.0,9,9,1.0,2
0,2,2,27.0,9,9,1.0,2
0,3,2,51.0,9,9,1.0,2
0,3,2,28.0,9,9,1.0,2
1,1,2,38.0,1,9,1.0,2
0,3,2,22.0,9,9,1.0,2
1,2,2,19.0,9,9,1.0,2
0,3,2,20.5,9,9,1.0,2
0,2,2,18.0,9,9,1.0,2
0,3,1,28.0,3,1,1.0,3
1,1,1,35.0,1,9,1.0,4
0,3,2,29.0,9,9,1.0,2
0,2,2,59.0,9,9,1.0,2
1,3,1,5.0,4,2,1.0,3
0,2,2,24.0,9,9,1.0,2
0,3,1,28.0,9,9,1.0,3
0,2,2,44.0,1,9,1.0,2
1,2,1,8.0,9,2,1.0,3
0,2,2,19.0,9,9,1.0,2
0,2,2,33.0,9,9,1.0,2
0,3,1,28.0,1,9,2.0,3
1,3,1,28.0,1,9,3.0,3
0,2,2,29.0,9,9,1.0,2
0,3,2,22.0,9,9,1.0,2
0,3,2,30.0,9,9,2.0,2
0,1,2,44.0,2,9,3.0,5
0,3,1,25.0,9,9,1.0,3
1,2,1,24.0,9,2,1.0,4
1,1,2,37.0,1,1,1.0,2
0,2,2,54.0,1,9,1.0,5
0,3,2,28.0,9,9,1.0,2
0,3,1,29.0,1,1,1.0,4
0,1,2,62.0,9,9,1.0,2
0,3,2,30.0,1,9,1.0,2
0,3,1,41.0,9,2,1.0,4
1,3,1,29.0,9,2,2.0,4
1,1,1,28.0,9,9,2.0,4
1,1,1,30.0,9,9,1.0,3
1,1,1,35.0,9,9,2.0,3
1,2,1,50.0,9,1,1.0,4
0,3,2,28.0,9,9,3.0,2
1,3,2,3.0,4,2,1.0,1
0,1,2,52.0,1,1,1.0,2
0,1,2,40.0,9,9,1.0,2
0,3,1,28.0,9,9,3.0,3
0,2,2,36.0,9,9,1.0,2
0,3,2,16.0,4,1,1.0,2
1,3,2,25.0,1,9,1.0,2
1,1,1,58.0,9,1,1.0,4
1,1,1,35.0,9,9,1.0,3
0,1,2,28.0,9,9,1.0,2
1,3,2,25.0,9,9,1.0,2
1,2,1,41.0,9,1,1.0,4
0,1,2,37.0,9,1,2.0,2
1,3,1,28.0,9,9,3.0,3
1,1,1,63.0,1,9,1.0,3
0,3,1,45.0,9,9,1.0,3
0,2,2,28.0,9,9,1.0,2
0,3,2,7.0,4,1,3.0,1
1,3,1,35.0,1,1,1.0,4
0,3,2,65.0,9,9,3.0,2
0,3,2,28.0,9,9,1.0,2
0,3,2,16.0,9,9,1.0,2
1,3,2,19.0,9,9,1.0,2
0,1,2,28.0,9,9,1.0,2
0,3,2,33.0,9,9,2.0,2
1,3,2,30.0,9,9,1.0,2
0,3,2,22.0,9,9,1.0,2
1,2,2,42.0,9,9,1.0,2
1,3,1,22.0,9,9,3.0,3
1,1,1,26.0,9,9,1.0,3
1,1,1,19.0,1,9,2.0,4
0,2,2,36.0,9,9,2.0,2
0,3,1,24.0,9,9,1.0,3
0,3,2,24.0,9,9,1.0,2
0,1,2,28.0,9,9,2.0,2
0,3,2,23.5,9,9,2.0,2
0,1,1,2.0,1,2,1.0,3
1,1,2,28.0,9,9,1.0,2
1,1,1,50.0,9,1,2.0,4
1,3,1,28.0,9,9,3.0,3
1,3,2,28.0,2,9,3.0,2
0,3,2,19.0,9,9,1.0,2
1,2,1,28.0,9,9,3.0,3
0,3,2,28.0,9,9,1.0,2
1,1,2,0.92,1,2,1.0,1
1,1,1,28.0,9,9,2.0,3
1,1,1,17.0,1,9,2.0,4
0,2,2,30.0,1,9,2.0,2
1,1,1,30.0,9,9,2.0,3
1,1,1,24.0,9,9,2.0,3
1,1,1,18.0,2,2,2.0,3
0,2,1,26.0,1,1,1.0,4
0,3,2,28.0,9,9,1.0,2
0,2,2,43.0,1,1,1.0,2
1,3,1,26.0,9,9,1.0,3
1,2,1,24.0,1,9,1.0,4
0,2,2,54.0,9,9,1.0,5
1,1,1,31.0,9,2,1.0,3
1,1,1,40.0,1,1,2.0,4
0,3,2,22.0,9,9,1.0,2
0,3,2,27.0,9,9,1.0,2
1,2,1,30.0,9,9,3.0,3
1,2,1,22.0,1,1,1.0,4
0,3,2,28.0,8,2,1.0,2
1,1,1,36.0,9,9,2.0,3
0,3,2,61.0,9,9,1.0,2
1,2,1,36.0,9,9,1.0,4
1,3,1,31.0,1,1,1.0,4
1,1,1,16.0,9,1,2.0,3
1,3,1,28.0,2,9,3.0,3
0,1,2,45.5,9,9,1.0,2
0,1,2,38.0,9,1,1.0,2
0,3,2,16.0,2,9,1.0,2
1,1,1,28.0,1,9,1.0,4
0,3,2,28.0,9,9,1.0,2
0,1,2,29.0,1,9,1.0,2
1,1,1,41.0,9,9,2.0,3
1,3,2,45.0,9,9,1.0,2
0,1,2,45.0,9,9,1.0,2
1,2,2,2.0,1,1,1.0,1
1,1,1,24.0,3,2,1.0,3
0,2,2,28.0,9,9,1.0,2
0,2,2,25.0,9,9,1.0,2
0,2,2,36.0,9,9,1.0,2
1,2,1,24.0,9,9,1.0,3
1,2,1,40.0,9,9,1.0,3
1,3,1,28.0,1,9,1.0,4
1,3,2,3.0,1,1,1.0,1
0,3,2,42.0,9,9,1.0,2
0,3,2,23.0,9,9,1.0,2
0,1,2,28.0,9,9,1.0,2
0,3,2,15.0,1,1,2.0,2
0,3,2,25.0,1,9,1.0,2
0,3,2,28.0,9,9,2.0,2
0,3,2,28.0,9,9,1.0,2
1,1,1,22.0,9,1,1.0,3
0,2,1,38.0,9,9,1.0,3
1,3,1,28.0,9,9,3.0,3
1,3,1,28.0,9,9,3.0,3
0,3,2,40.0,1,4,1.0,2
0,2,2,29.0,1,9,2.0,2
0,3,1,45.0,9,1,2.0,4
0,3,2,35.0,9,9,1.0,2
0,3,2,28.0,1,9,3.0,2
0,3,2,30.0,9,9,1.0,2
1,1,1,60.0,1,9,2.0,4
1,3,1,28.0,9,9,2.0,4
1,3,1,28.0,9,9,3.0,3
1,1,1,24.0,9,9,2.0,4
1,1,2,25.0,1,9,2.0,2
0,3,2,18.0,1,9,1.0,2
0,3,2,19.0,9,9,1.0,2
0,1,2,22.0,9,9,2.0,2
0,3,1,3.0,3,1,1.0,3
1,1,1,28.0,1,9,2.0,4
1,3,1,22.0,9,9,1.0,3
0,1,2,27.0,9,2,2.0,2
0,3,2,20.0,9,9,2.0,2
0,3,2,19.0,9,9,1.0,2
1,1,1,42.0,9,9,2.0,3
1,3,1,1.0,9,2,2.0,3
0,3,2,32.0,9,9,1.0,2
1,1,1,35.0,1,9,1.0,4
0,3,2,28.0,9,9,1.0,2
0,2,2,18.0,9,9,1.0,2
0,3,2,1.0,5,2,1.0,1
1,2,1,36.0,9,9,1.0,3
0,3,2,28.0,9,9,3.0,2
1,2,1,17.0,9,9,2.0,3
1,1,2,36.0,1,2,1.0,2
1,3,2,21.0,9,9,1.0,2
0,3,2,28.0,2,9,1.0,2
1,1,1,23.0,1,9,2.0,3
1,3,1,24.0,9,2,1.0,4
0,3,2,22.0,9,9,1.0,2
0,3,1,31.0,9,9,1.0,3
0,2,2,46.0,9,9,1.0,2
0,2,2,23.0,9,9,1.0,5
1,2,1,28.0,9,9,1.0,4
1,3,2,39.0,9,9,1.0,2
0,3,2,26.0,9,9,1.0,2
0,3,1,21.0,1,9,1.0,3
0,3,2,28.0,1,9,1.0,2
0,3,1,20.0,9,9,1.0,3
0,2,2,34.0,1,9,1.0,2
0,3,2,51.0,9,9,1.0,2
1,2,2,3.0,1,1,1.0,1
0,3,2,21.0,9,9,1.0,2
0,3,1,28.0,3,1,1.0,3
0,3,2,28.0,9,9,1.0,2
0,3,2,28.0,9,9,3.0,2
1,1,1,33.0,1,9,3.0,3
0,2,2,28.0,9,9,1.0,2
1,3,2,44.0,9,9,1.0,2
0,3,1,28.0,9,9,1.0,4
1,2,1,34.0,1,1,1.0,4
1,2,1,18.0,9,2,1.0,3
0,2,2,30.0,9,9,1.0,2
0,3,1,10.0,9,2,1.0,3
0,3,2,28.0,9,9,2.0,2
0,3,2,21.0,9,9,3.0,2
0,3,2,29.0,9,9,1.0,2
0,3,1,28.0,1,1,1.0,4
0,3,2,18.0,1,1,1.0,2
0,3,2,28.0,9,9,1.0,2
1,2,1,28.0,1,9,1.0,4
1,2,1,19.0,9,9,1.0,3
0,3,2,28.0,9,9,3.0,2
1,3,2,32.0,9,9,1.0,2
1,1,2,28.0,9,9,1.0,2
1,3,1,28.0,1,9,1.0,4
1,2,1,42.0,1,9,1.0,4
0,3,2,17.0,9,9,1.0,2
0,1,2,50.0,1,9,1.0,2
1,1,1,14.0,1,2,1.0,3
0,3,1,21.0,2,2,1.0,3
1,2,1,24.0,2,3,1.0,4
0,1,2,64.0,1,4,1.0,2
0,2,2,31.0,9,9,1.0,2
1,2,1,45.0,1,1,1.0,4
0,3,2,20.0,9,9,1.0,2
0,3,2,25.0,1,9,1.0,2
1,2,1,28.0,9,9,1.0,3
1,3,2,28.0,9,9,1.0,2
1,1,2,4.0,9,2,1.0,1
1,2,1,13.0,9,1,1.0,3
1,1,2,34.0,9,9,1.0,2
1,3,1,5.0,2,1,2.0,3
1,1,2,52.0,9,9,1.0,5
0,2,2,36.0,1,2,1.0,2
0,3,2,28.0,1,9,1.0,2
0,1,2,30.0,9,9,2.0,2
1,1,2,49.0,1,9,2.0,2
0,3,2,28.0,9,9,1.0,2
1,3,2,29.0,9,9,2.0,2
0,1,2,65.0,9,9,1.0,2
1,1,1,28.0,1,9,1.0,4
1,2,1,50.0,9,9,1.0,3
0,3,2,28.0,9,9,3.0,2
1,1,2,48.0,9,9,1.0,2
0,3,2,34.0,9,9,1.0,2
0,1,2,47.0,9,9,1.0,2
0,2,2,48.0,9,9,1.0,2
0,3,2,28.0,9,9,1.0,2
0,3,2,38.0,9,9,1.0,2
0,2,2,28.0,9,9,1.0,2
0,1,2,56.0,9,9,1.0,2
0,3,2,28.0,9,9,3.0,2
1,3,1,0.75,2,1,2.0,3
0,3,2,28.0,9,9,1.0,2
0,3,2,38.0,9,9,1.0,2
1,2,1,33.0,1,2,1.0,4
1,2,1,23.0,9,9,2.0,4
0,3,1,22.0,9,9,1.0,3
0,1,2,28.0,9,9,1.0,2
0,2,2,34.0,1,9,1.0,2
0,3,2,29.0,1,9,1.0,2
0,3,2,22.0,9,9,1.0,2
1,3,1,2.0,9,1,1.0,3
0,3,2,9.0,5,2,1.0,1
0,2,2,28.0,9,9,1.0,2
0,3,2,50.0,9,9,1.0,2
1,3,1,63.0,9,9,1.0,4
1,1,2,25.0,1,9,2.0,2
0,3,1,28.0,3,1,1.0,3
1,1,1,35.0,1,9,1.0,4
0,1,2,58.0,9,9,2.0,2
0,3,2,30.0,9,9,1.0,2
1,3,2,9.0,1,1,1.0,1
0,3,2,28.0,1,9,1.0,2
0,3,2,21.0,9,9,1.0,2
0,1,2,55.0,9,9,1.0,2
0,1,2,71.0,9,9,2.0,2
0,3,2,21.0,9,9,1.0,2
0,3,2,28.0,9,9,2.0,2
1,1,1,54.0,1,9,2.0,3
0,3,2,28.0,9,9,1.0,2
0,1,1,25.0,1,2,1.0,4
0,3,2,24.0,9,9,1.0,2
0,3,2,17.0,9,9,1.0,2
0,3,1,21.0,9,9,3.0,3
0,3,1,28.0,9,9,3.0,3
0,3,1,37.0,9,9,1.0,3
1,1,1,16.0,9,9,1.0,3
0,1,2,18.0,1,9,2.0,2
1,2,1,33.0,9,2,1.0,4
1,1,2,28.0,9,9,1.0,2
0,3,2,28.0,9,9,1.0,2
1,3,2,26.0,9,9,1.0,2
1,3,2,29.0,9,9,3.0,2
0,3,2,28.0,9,9,1.0,2
1,1,2,36.0,9,9,1.0,2
1,1,1,54.0,1,9,2.0,4
0,3,2,24.0,9,9,1.0,2
0,1,2,47.0,9,9,1.0,2
1,2,1,34.0,9,9,1.0,4
0,3,2,28.0,9,9,3.0,2
1,2,1,36.0,1,9,1.0,4
0,3,2,32.0,9,9,1.0,2
1,1,1,30.0,9,9,1.0,3
0,3,2,22.0,9,9,1.0,2
0,3,2,28.0,9,9,2.0,2
1,1,1,44.0,9,1,2.0,4
0,3,2,28.0,9,9,2.0,2
0,3,2,40.5,9,9,3.0,2
1,2,1,50.0,9,9,1.0,3
0,1,2,28.0,9,9,1.0,2
0,3,2,39.0,9,9,1.0,2
0,2,2,23.0,2,1,1.0,2
1,2,1,2.0,1,1,1.0,3
0,3,2,28.0,9,9,2.0,2
0,3,2,17.0,1,1,2.0,2
1,3,1,28.0,9,2,2.0,4
0,3,1,30.0,9,9,1.0,3
1,2,1,7.0,9,2,1.0,3
0,1,2,45.0,9,9,1.0,5
1,1,1,30.0,9,9,2.0,3
0,3,2,28.0,9,9,1.0,2
1,1,1,22.0,9,2,2.0,3
1,1,1,36.0,9,2,1.0,3
0,3,1,9.0,4,2,1.0,3
0,3,1,11.0,4,2,1.0,3
1,2,2,32.0,1,9,1.0,2
0,1,2,50.0,1,9,2.0,2
0,1,2,64.0,9,9,1.0,2
1,2,1,19.0,1,9,1.0,4
1,2,2,28.0,9,9,2.0,2
0,3,2,33.0,1,1,1.0,2
1,2,2,8.0,1,1,1.0,1
1,1,2,17.0,9,2,2.0,2
0,2,2,27.0,9,9,1.0,2
0,3,2,28.0,9,9,3.0,2
1,3,2,22.0,9,9,2.0,2
1,3,1,22.0,9,9,1.0,3
0,1,2,62.0,9,9,1.0,2
1,1,1,48.0,1,9,2.0,5
0,1,2,28.0,9,9,2.0,2
1,1,1,39.0,1,1,1.0,4
1,3,1,36.0,1,9,1.0,4
0,3,2,28.0,9,9,3.0,2
0,3,2,40.0,9,9,1.0,2
0,2,2,28.0,9,9,1.0,2
0,3,2,28.0,9,9,1.0,2
0,3,1,28.0,9,9,1.0,3
0,3,2,24.0,2,9,1.0,2
0,3,2,19.0,9,9,1.0,2
0,3,1,29.0,9,4,1.0,4
0,3,2,28.0,9,9,2.0,2
1,3,2,32.0,9,9,1.0,2
1,2,2,62.0,9,9,1.0,2
1,1,1,53.0,2,9,1.0,4
1,1,2,36.0,9,9,1.0,2
1,3,1,28.0,9,9,3.0,3
0,3,2,16.0,9,9,1.0,2
0,3,2,19.0,9,9,1.0,2
1,2,1,34.0,9,9,1.0,3
1,1,1,39.0,1,9,1.0,4
0,3,1,28.0,1,9,2.0,4
1,3,2,32.0,9,9,1.0,2
1,2,1,25.0,1,1,1.0,3
1,1,1,39.0,1,1,2.0,4
0,2,2,54.0,9,9,1.0,2
0,1,2,36.0,9,9,2.0,2
0,3,2,28.0,9,9,2.0,2
1,1,1,18.0,9,2,1.0,3
0,2,2,47.0,9,9,1.0,2
1,1,2,60.0,1,1,2.0,2
0,3,2,22.0,9,9,1.0,2
0,3,2,28.0,9,9,1.0,2
0,3,2,35.0,9,9,1.0,2
1,1,1,52.0,1,9,2.0,4
0,3,2,47.0,9,9,1.0,2
0,3,1,28.0,9,2,3.0,3
0,2,2,37.0,1,9,1.0,2
0,3,2,36.0,1,1,1.0,2
1,2,1,28.0,9,9,1.0,3
0,3,2,49.0,9,9,1.0,2
0,3,2,28.0,9,9,2.0,2
1,1,2,49.0,1,9,2.0,5
1,2,1,24.0,2,1,1.0,4
0,3,2,28.0,9,9,1.0,2
0,1,2,28.0,9,9,1.0,2
0,3,2,44.0,9,9,1.0,2
1,1,2,35.0,9,9,2.0,2
0,3,2,36.0,1,9,1.0,2
0,3,2,30.0,9,9,1.0,2
1,1,2,27.0,9,9,1.0,2
1,2,1,22.0,1,2,2.0,4
1,1,1,40.0,9,9,1.0,3
0,3,1,39.0,1,5,1.0,4
0,3,2,28.0,9,9,1.0,2
1,3,1,28.0,1,9,3.0,3
0,3,2,28.0,9,9,3.0,2
0,3,2,35.0,9,9,1.0,2
1,2,1,24.0,1,2,1.0,3
0,3,2,34.0,1,1,1.0,2
0,3,1,26.0,1,9,1.0,4
1,2,1,4.0,2,1,1.0,3
0,2,2,26.0,9,9,1.0,2
0,3,2,27.0,1,9,2.0,2
1,1,2,42.0,1,9,1.0,2
1,3,2,20.0,1,1,2.0,2
0,3,2,21.0,9,9,1.0,2
0,3,2,21.0,9,9,1.0,2
0,1,2,61.0,9,9,1.0,2
0,2,2,57.0,9,9,3.0,5
1,1,1,21.0,9,9,1.0,3
0,3,2,26.0,9,9,1.0,2
0,3,2,28.0,9,9,3.0,2
1,1,2,80.0,9,9,1.0,2
0,3,2,51.0,9,9,1.0,2
1,1,2,32.0,9,9,2.0,5
0,1,2,28.0,9,9,1.0,2
0,3,1,9.0,3,2,1.0,3
1,2,1,28.0,9,9,1.0,3
0,3,2,32.0,9,9,1.0,2
0,2,2,31.0,1,1,1.0,2
0,3,1,41.0,9,5,1.0,4
0,3,2,28.0,1,9,1.0,2
0,3,2,20.0,9,9,1.0,2
1,1,1,24.0,9,9,2.0,3
0,3,1,2.0,3,2,1.0,3
1,3,2,28.0,9,9,1.0,2
1,3,1,0.75,2,1,2.0,3
1,1,2,48.0,1,9,2.0,2
0,3,2,19.0,9,9,1.0,2
1,1,2,56.0,9,9,2.0,5
0,3,2,28.0,9,9,1.0,2
1,3,1,23.0,9,9,1.0,3
0,3,2,28.0,9,9,1.0,2
1,2,1,18.0,9,1,1.0,3
0,3,2,21.0,9,9,1.0,2
1,3,1,28.0,9,9,3.0,3
0,3,1,18.0,9,9,3.0,3
0,2,2,24.0,2,9,1.0,2
0,3,2,28.0,9,9,1.0,2
0,3,1,32.0,1,1,3.0,4
0,2,2,23.0,9,9,1.0,2
0,1,2,58.0,9,2,2.0,2
1,1,2,50.0,2,9,1.0,5
0,3,2,40.0,9,9,2.0,2
0,1,2,47.0,9,9,1.0,2
0,3,2,36.0,9,9,1.0,2
1,3,2,20.0,1,9,1.0,2
0,2,2,32.0,2,9,1.0,2
0,2,2,25.0,9,9,1.0,2
0,3,2,28.0,9,9,1.0,2
0,3,2,43.0,9,9,1.0,2
1,1,1,28.0,1,9,1.0,4
1,2,1,40.0,1,1,1.0,4
0,1,2,31.0,1,9,1.0,2
0,2,2,70.0,9,9,1.0,2
1,2,2,31.0,9,9,1.0,2
0,2,2,28.0,9,9,1.0,2
0,3,2,18.0,9,9,1.0,2
0,3,2,24.5,9,9,1.0,2
1,3,1,18.0,9,9,1.0,3
0,3,1,43.0,1,6,1.0,4
1,1,2,36.0,9,1,2.0,2
0,3,1,28.0,9,9,3.0,3
1,1,2,27.0,9,9,2.0,2
0,3,2,20.0,9,9,1.0,2
0,3,2,14.0,5,2,1.0,2
0,2,2,60.0,1,1,1.0,2
0,2,2,25.0,1,2,2.0,2
0,3,2,14.0,4,1,1.0,2
0,3,2,19.0,9,9,1.0,2
0,3,2,18.0,9,9,1.0,2
1,1,1,15.0,9,1,1.0,3
1,1,2,31.0,1,9,1.0,2
1,3,1,4.0,9,1,2.0,3
1,3,2,28.0,9,9,1.0,2
0,3,2,25.0,9,9,2.0,2
0,1,2,60.0,9,9,1.0,5
0,2,2,52.0,9,9,1.0,2
